"cell_id","umap_x","umap_y","tissue_x","tissue_y","cluster","color_hex"
"bllkcmef-1",-5.20455593517137,-1.18550276322764,8576.658203125,-8311.3671875,"Epi_SecA","#E69F00"
"bllkcnmg-1",3.89415746280837,-2.71126901669901,8573.146484375,-8336.560546875,"Macrophage","#CC79A7"
"bllkcpfh-1",5.59938865253615,-4.87743007703226,8569.73828125,-8327.85546875,"T cell","#1C91D4"
"bllkimjn-1",8.24721437046218,-5.34916889233988,8577.45703125,-8326.328125,"Plasma cell","#005685"
"bllkjobk-1",6.13347678730178,-4.96492206616801,8549.869140625,-8308.990234375,"T cell","#1C91D4"
"blllaofe-1",-5.42572922160936,-0.948451514677222,8588.75390625,-8361.728515625,"Epi_SecA","#E69F00"
"blllbcnf-1",-6.09076971462083,-0.0765167096118287,8574.146484375,-8387.3076171875,"Epi_SecA","#E69F00"
"blllbkdl-1",-4.97828573634935,-1.54185032411021,8562.6318359375,-8371.3193359375,"Epi_SecA","#E69F00"
"blllcond-1",-6.22237533977342,-0.314316342906173,8574.91796875,-8371.556640625,"Epi_SecA","#E69F00"
"blllddim-1",4.1070864731996,-5.39496767087382,8556.392578125,-8399.9677734375,"Mesenchymal","#F0E442"
"blllefkk-1",-4.97851700237107,-3.30036842389506,8554.7392578125,-8425.306640625,"Epi_SecA","#E69F00"
"blllfnjm-1",-4.89252705028367,-1.60731124444407,8566.8232421875,-8415.865234375,"Epi_SecA","#E69F00"
"blllfojd-1",-3.69824881007981,-2.84816276593607,8555.041015625,-8411.02734375,"Epi_SecB","#56B4E9"
"blllklim-1",-2.73505014827562,-2.98398959203165,8563.3984375,-8404.9345703125,"Epi_SecB","#56B4E9"
"blllmdpm-1",-6.44288200786424,-0.0116026954213933,8576.904296875,-8396.5380859375,"Epi_SecA","#E69F00"
"bllmanoc-1",-7.88924164226365,1.47761261896688,8589.3564453125,-8398.4794921875,"Epi_SecA","#E69F00"
"bllmbfng-1",-5.07996649196458,-1.66755258603495,8576.4609375,-8413.818359375,"Epi_SecA","#E69F00"
"bllmjjdh-1",-4.14750093868089,0.344845895334069,8529.70703125,-8379.994140625,"Epi_SecA","#E69F00"
"bllmpbpo-1",-4.90199369838548,-1.33128177686137,8550.2978515625,-8368.0166015625,"Epi_SecA","#E69F00"
"bllnhhhp-1",0.175622754785298,-2.63830911679667,8543.798828125,-8367.0537109375,"Epi_SecA","#E69F00"
"blmaeijg-1",-4.89718002727342,-1.53388297124308,8597.0830078125,-8223.3671875,"Epi_SecA","#E69F00"
"blmafeja-1",-4.55916113307786,-1.33896588845652,8592.4912109375,-8228.0849609375,"Epi_SecA","#E69F00"
"blmaipph-1",-4.74388546397996,-1.56627881093424,8598.2763671875,-8248.33203125,"Epi_SecA","#E69F00"
"blmanmei-1",-3.77072519710374,-1.34528767629069,8599.1279296875,-8231.2421875,"Epi_SecA","#E69F00"
"blmapfmm-1",-5.09000868251634,-1.46755086942118,8596.1796875,-8238.953125,"Epi_SecA","#E69F00"
"blmfpmei-1",5.09602552005935,-4.72078477902811,8557.1396484375,-8245.009765625,"T cell","#1C91D4"
"blmgepfj-1",5.73856072971511,-4.55844842954081,8547.998046875,-8258.9365234375,"T cell","#1C91D4"
"blmgkgof-1",-4.38543743541551,-1.94471358819407,8572.1484375,-8255.44140625,"Epi_SecA","#E69F00"
"blmgkjkf-1",4.61886363575148,-3.25017010732096,8549.69140625,-8250.921875,"Macrophage","#CC79A7"
"blmgmlad-1",-1.9831108515532,-3.38014328046244,8576.130859375,-8278.970703125,"Epi_SecB","#56B4E9"
"blmgmlbm-1",-5.39820331981492,-2.48160111470621,8582.923828125,-8291.138671875,"Epi_SecA","#E69F00"
"blmgoehp-1",6.40190082142043,-4.00962125821512,8542.63671875,-8282.373046875,"Plasma cell","#005685"
"blmhbcaf-1",-4.19456762721849,-2.33504259152811,8581.845703125,-8278.83984375,"Epi_SecA","#E69F00"
"blmhdleg-1",-3.87905353954148,-1.61818837685984,8592.7958984375,-8257.5302734375,"Epi_SecA","#E69F00"
"blmhfcil-1",-3.69245285442186,-2.30514132543009,8590.3720703125,-8275.318359375,"Epi_SecA","#E69F00"
"blmhgadp-1",-4.1657862131865,-2.15300190015238,8599.9287109375,-8271.2939453125,"Epi_SecA","#E69F00"
"blmhojba-1",-4.22885364940477,-2.12967574162882,8599.19921875,-8255.177734375,"Epi_SecA","#E69F00"
"blmieebj-1",-4.73717064311814,-0.844090517000373,8437.4267578125,-7976.64990234375,"Epi_SecA","#E69F00"
"blmifpcp-1",-4.22302526882005,-0.57858567996424,8444.490234375,-7994.29345703125,"Epi_SecA","#E69F00"
"blmiglnb-1",-4.23494524410081,-0.233977358178313,8455.55859375,-7988.37841796875,"Epi_SecA","#E69F00"
"blmimjma-1",-4.34514660289598,-1.09294694228571,8440.8017578125,-7984.03857421875,"Epi_SecA","#E69F00"
"blmiobpi-1",-4.69638151576829,-0.488912041620429,8449.158203125,-7984.7333984375,"Epi_SecA","#E69F00"
"blmjilcd-1",-6.03398270061326,-0.00324764414232534,8457.3935546875,-8052.3056640625,"Epi_SecA","#E69F00"
"blmjlidm-1",-4.83424610545945,0.00546294884282786,8455.654296875,-8069.72900390625,"Epi_SecA","#E69F00"
"blmjpcal-1",-3.80409950664354,-0.493572797016318,8463.0712890625,-8060.69873046875,"Epi_SecA","#E69F00"
"blmkanah-1",-5.44925207546067,-0.52431493564051,8459.6591796875,-8064.8701171875,"Epi_SecA","#E69F00"
"blmkcjlb-1",-5.49888605525804,-0.109471223638471,8448.009765625,-8062.22705078125,"Epi_SecA","#E69F00"
"blmkgcgf-1",-5.26816505840135,-0.830982561544593,8448.4248046875,-8051.9697265625,"Epi_SecA","#E69F00"
"blmkjnam-1",-5.23872894695115,0.619085316224877,8437.7705078125,-8053.76611328125,"Epi_SecA","#E69F00"
"blmkncph-1",-4.93061537196946,1.48874509768087,8441.93359375,-8046.95849609375,"Epi_SecA","#E69F00"
